year,latimes_make,latimes_model,population_count,active_count,total_hours,latimes_make_and_model
2006,AGUSTA,109,99,99.0,38290,AGUSTA 109
2007,AGUSTA,109,114,114.0,39698,AGUSTA 109
2008,AGUSTA,109,80,72.0,21110,AGUSTA 109
2009,AGUSTA,109,105,100.0,34984,AGUSTA 109
2010,AGUSTA,109,105,94.0,43765,AGUSTA 109
2012,AGUSTA,109,118,115.0,35701,AGUSTA 109
2013,AGUSTA,109,114,106.0,31974,AGUSTA 109
2014,AGUSTA,109,116,108.0,40102,AGUSTA 109
2015,AGUSTA,109,130,103.0,38899,AGUSTA 109
2016,AGUSTA,109,144,115.0,37649,AGUSTA 109
2006,AIRBUS,130,87,87.0,84786,AIRBUS 130
2007,AIRBUS,130,105,10.5,94269,AIRBUS 130
2008,AIRBUS,130,109,109.0,73656,AIRBUS 130
2009,AIRBUS,130,86,86.0,58535,AIRBUS 130
2010,AIRBUS,130,79,76.0,67219,AIRBUS 130
2012,AIRBUS,130,176,176.0,144661,AIRBUS 130
2013,AIRBUS,130,176,171.0,124124,AIRBUS 130
2014,AIRBUS,130,189,189.0,119432,AIRBUS 130
2015,AIRBUS,130,171,171.0,120646,AIRBUS 130
2016,AIRBUS,130,219,219.0,166458,AIRBUS 130
2006,AIRBUS,135,128,128.0,65058,AIRBUS 135
2007,AIRBUS,135,91,83.0,39074,AIRBUS 135
2008,AIRBUS,135,151,144.0,70928,AIRBUS 135
2009,AIRBUS,135,168,168.0,76970,AIRBUS 135
2010,AIRBUS,135,124,124.0,58658,AIRBUS 135
2012,AIRBUS,135,266,266.0,111005,AIRBUS 135
2013,AIRBUS,135,229,229.0,89498,AIRBUS 135
2014,AIRBUS,135,311,311.0,122321,AIRBUS 135
2015,AIRBUS,135,293,293.0,127262,AIRBUS 135
2016,AIRBUS,135,300,300.0,123822,AIRBUS 135
2006,AIRBUS,350,645,613.0,373355,AIRBUS 350
2007,AIRBUS,350,676,662.0,421896,AIRBUS 350
2008,AIRBUS,350,621,615.0,312296,AIRBUS 350
2009,AIRBUS,350,628,611.0,290347,AIRBUS 350
2010,AIRBUS,350,629,623.0,374135,AIRBUS 350
2012,AIRBUS,350,911,899.0,434885,AIRBUS 350
2013,AIRBUS,350,846,843.0,396602,AIRBUS 350
2014,AIRBUS,350,1187,1069.0,463797,AIRBUS 350
2015,AIRBUS,350,947,937.0,423754,AIRBUS 350
2016,AIRBUS,350,805,786.0,392423,AIRBUS 350
2006,BELL,206,1701,1549.0,652307,BELL 206
2007,BELL,206,1650,1448.0,589158,BELL 206
2008,BELL,206,1420,1303.0,518892,BELL 206
2009,BELL,206,1455,1337.0,477082,BELL 206
2010,BELL,206,1529,1436.0,579440,BELL 206
2012,BELL,206,1333,1248.0,725398,BELL 206
2013,BELL,206,1340,1161.0,419980,BELL 206
2014,BELL,206,1504,1394.0,520572,BELL 206
2015,BELL,206,1682,1563.0,507272,BELL 206
2016,BELL,206,1752,1655.0,511207,BELL 206
2006,BELL,407,440,432.0,182952,BELL 407
2007,BELL,407,446,435.0,173867,BELL 407
2008,BELL,407,473,465.0,191359,BELL 407
2009,BELL,407,448,441.0,176083,BELL 407
2010,BELL,407,377,369.0,182060,BELL 407
2012,BELL,407,570,530.0,235944,BELL 407
2013,BELL,407,586,583.0,233215,BELL 407
2014,BELL,407,620,598.0,225633,BELL 407
2015,BELL,407,583,579.0,264613,BELL 407
2016,BELL,407,790,783.0,248062,BELL 407
2006,HUGHES,369,308,242.0,100460,HUGHES 369
2007,HUGHES,369,376,294.0,100372,HUGHES 369
2008,HUGHES,369,315,240.0,98498,HUGHES 369
2009,HUGHES,369,295,228.0,75868,HUGHES 369
2010,HUGHES,369,360,295.0,114625,HUGHES 369
2012,HUGHES,369,396,348.0,137784,HUGHES 369
2013,HUGHES,369,418,388.0,164405,HUGHES 369
2014,HUGHES,369,351,314.0,149082,HUGHES 369
2015,HUGHES,369,337,291.0,105617,HUGHES 369
2016,HUGHES,369,410,362.0,154977,HUGHES 369
2006,MCDONNELL DOUGLAS,369,153,142.0,59558,MCDONNELL DOUGLAS 369
2007,MCDONNELL DOUGLAS,369,199,187.0,74111,MCDONNELL DOUGLAS 369
2008,MCDONNELL DOUGLAS,369,154,149.0,78589,MCDONNELL DOUGLAS 369
2009,MCDONNELL DOUGLAS,369,149,139.0,54430,MCDONNELL DOUGLAS 369
2010,MCDONNELL DOUGLAS,369,147,138.0,61856,MCDONNELL DOUGLAS 369
2012,MCDONNELL DOUGLAS,369,120,120.0,40556,MCDONNELL DOUGLAS 369
2013,MCDONNELL DOUGLAS,369,103,101.0,39197,MCDONNELL DOUGLAS 369
2014,MCDONNELL DOUGLAS,369,99,96.0,39927,MCDONNELL DOUGLAS 369
2015,MCDONNELL DOUGLAS,369,80,78.0,31029,MCDONNELL DOUGLAS 369
2016,MCDONNELL DOUGLAS,369,121,121.0,71436,MCDONNELL DOUGLAS 369
2006,ROBINSON,R22,1170,1040.0,494471,ROBINSON R22
2007,ROBINSON,R22,948,863.0,330883,ROBINSON R22
2008,ROBINSON,R22,965,821.0,235188,ROBINSON R22
2009,ROBINSON,R22,1015,848.0,268159,ROBINSON R22
2010,ROBINSON,R22,1024,875.0,276492,ROBINSON R22
2012,ROBINSON,R22,916,813.0,274974,ROBINSON R22
2013,ROBINSON,R22,831,744.0,188036,ROBINSON R22
2014,ROBINSON,R22,940,824.0,337354,ROBINSON R22
2015,ROBINSON,R22,892,820.0,257445,ROBINSON R22
2016,ROBINSON,R22,961,840.0,307804,ROBINSON R22
2006,ROBINSON,R44,859,828.0,200535,ROBINSON R44
2007,ROBINSON,R44,1022,999.0,184624,ROBINSON R44
2008,ROBINSON,R44,1109,1075.0,206991,ROBINSON R44
2009,ROBINSON,R44,1016,959.0,151468,ROBINSON R44
2010,ROBINSON,R44,1010,969.0,187017,ROBINSON R44
2012,ROBINSON,R44,1342,1300.0,272509,ROBINSON R44
2013,ROBINSON,R44,1300,1241.0,238472,ROBINSON R44
2014,ROBINSON,R44,1269,1204.0,299804,ROBINSON R44
2015,ROBINSON,R44,1348,1304.0,287681,ROBINSON R44
2016,ROBINSON,R44,1502,1404.0,330628,ROBINSON R44
2006,SCHWEIZER,269,327,307.0,98432,SCHWEIZER 269
2007,SCHWEIZER,269,403,366.0,147936,SCHWEIZER 269
2008,SCHWEIZER,269,392,342.0,140416,SCHWEIZER 269
2009,SCHWEIZER,269,356,302.0,138301,SCHWEIZER 269
2010,SCHWEIZER,269,360,285.0,107276,SCHWEIZER 269
2012,SCHWEIZER,269,380,336.0,106154,SCHWEIZER 269
2013,SCHWEIZER,269,370,327.0,109990,SCHWEIZER 269
2014,SCHWEIZER,269,313,270.0,101665,SCHWEIZER 269
2015,SCHWEIZER,269,346,292.0,167499,SCHWEIZER 269
2016,SCHWEIZER,269,142,121.0,21657,SCHWEIZER 269
2006,SIKORSKY,76,234,217.0,91535,SIKORSKY 76
2007,SIKORSKY,76,316,310.0,127861,SIKORSKY 76
2008,SIKORSKY,76,238,227.0,95639,SIKORSKY 76
2009,SIKORSKY,76,251,246.0,120119,SIKORSKY 76
2010,SIKORSKY,76,223,217.0,91524,SIKORSKY 76
2012,SIKORSKY,76,228,213.0,90939,SIKORSKY 76
2013,SIKORSKY,76,263,243.0,77451,SIKORSKY 76
2014,SIKORSKY,76,175,171.0,73580,SIKORSKY 76
2015,SIKORSKY,76,295,281.0,73025,SIKORSKY 76
2016,SIKORSKY,76,263,245.0,73842,SIKORSKY 76
